控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,8,0.07894736842105263,3,13,12
view_0702af1b9b25fd7f1de5a51d009bf36c.png,23,0.045112781954887216,0,26,19
view_03873cb330123484b28437172d028393.png,23,0.08270676691729323,5,26,19
view_83a89454cfb3eaad6b69218a01725efe.png,23,0.2781954887218045,23,26,19
view_1b7713bc6b808e56e533c6512cba249f.png,31,0.06015037593984962,1,30,236
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,31,0.12406015037593984,5,30,236
view_bed672cef70c91b21e0092a3bbffb37b.png,34,0.06766917293233082,1,14,30
view_ac28492f1787a95585bf168676e5e07e.png,36,0.9210526315789473,4,5,55
view_56c274f21b5a47c36d6491eeec801b77.png,46,0.03007518796992481,0,13,143
view_a5af5ebb87c06b9e8f612da9c70128a0.png,48,0.0,0,12,245
view_b189627e1375d433fe899275dffd499e.png,52,0.015037593984962405,0,13,286
view_69d0f1bb75ac90746cb81b7943ad209e.png,52,0.022556390977443608,2,13,286
view_c545dfece6f46c4594b005bd68055924.png,52,0.045112781954887216,6,13,286
view_a3bd5f6a4b49068832ef89711954db0e.png,67,0.36466165413533835,3,5,394
view_8133e2b06f41040bd19fd48348238298.png,70,0.09022556390977443,5,8,188
view_453a65384090d62e4aa9582ec6ec5b69.png,78,0.09774436090225563,0,6,37
view_95f67622e5147705d104f32148611b5b.png,84,0.09774436090225563,3,5,311
view_48f72e7fb6e500559fd750d5456ef584.png,85,0.045112781954887216,0,5,49
view_ca8c093974517c20c9f70b9dd0064138.png,85,0.5601503759398496,4,5,49
view_e483dd3105d6f69d4ca07dd704591063.png,98,0.03383458646616541,0,6,108
view_7cbf91c5b6613436461d57f32909d0e9.png,103,0.06390977443609022,7,28,243
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,103,0.11278195488721804,16,28,243
view_388d4340422c2e5da6110b736456d4b7.png,103,0.15789473684210525,21,28,243
view_52aab8a65f4106aa0022d30a17056599.png,107,0.22556390977443608,0,4,124
view_a4264a050fbc1523de3338d64580ba79.png,112,0.07142857142857142,8,12,47
view_4d03888ec5acebf863fb8debe4535ffb.png,135,0.03383458646616541,8,17,153
view_ba27a1df2a40cc2f63697dfc71f86c79.png,165,0.045112781954887216,0,10,117
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,166,0.6127819548872181,5,7,57
view_44a2a3cd455836de372ed9701f3e7581.png,171,0.06766917293233082,2,6,267
view_036db19dd3ca2bfe15721c3150990f86.png,223,0.19924812030075187,1,5,120
view_a25f6186706916f9d65f5bb47b4986f9.png,226,0.39097744360902253,4,6,297
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,236,0.6466165413533834,3,4,69
view_cb998351b18907c11d8dbd43fff35ea5.png,238,0.49624060150375937,1,3,56
view_8f31eb7e5a23c5234243c915c5f14acf.png,250,0.20300751879699247,2,5,20
view_2fecd352e53d0f934542a5bfa095083a.png,264,0.05639097744360902,1,3,331
view_6036d6a923e2fc4b26cb85b4324b61fd.png,267,0.045112781954887216,1,6,140
view_b520db2a0e8f47d47e36a9bc8597aaf4.png,276,0.16917293233082706,1,3,28
view_a191fdabea2ce5f6881da31a011655f8.png,314,0.8796992481203008,4,5,332
view_7721915c5adce47fc5fb59f6d39733c0.png,320,0.07894736842105263,1,3,64
